employee_id,review_cycle,rating,promoted,manager_feedback_length
EMP1085,H1-2025,2,No,202
EMP1085,H2-2025,4,No,276
EMP1085,H1-2026,3,No,253
EMP1086,H1-2025,2,No,125
EMP1086,H2-2025,4,No,197
EMP1086,H1-2026,4,Yes,153
EMP1087,H1-2025,5,No,115
EMP1087,H2-2025,2,No,5
EMP1087,H1-2026,4,No,95
EMP1088,H1-2025,3,No,179
EMP1088,H2-2025,3,No,158
EMP1088,H1-2026,3,No,128
EMP1089,H1-2025,4,No,78
EMP1089,H2-2025,3,No,181
EMP1089,H1-2026,3,No,26
EMP1090,H1-2025,4,No,139
EMP1090,H2-2025,4,No,140
EMP1090,H1-2026,2,No,246
EMP1091,H1-2025,3,No,122
EMP1091,H2-2025,4,No,207
EMP1091,H1-2026,3,No,184
EMP1092,H1-2025,4,No,110
EMP1092,H2-2025,4,No,70
EMP1092,H1-2026,3,No,154
EMP1093,H1-2025,4,No,26
EMP1093,H2-2025,3,No,151
EMP1093,H1-2026,4,No,142
EMP1094,H1-2025,3,No,92
EMP1094,H2-2025,5,No,158
EMP1094,H1-2026,4,Yes,124
EMP1095,H1-2025,4,No,108
EMP1095,H2-2025,2,No,104
EMP1095,H1-2026,2,No,67
EMP1096,H1-2025,4,No,24
EMP1096,H2-2025,3,No,77
EMP1096,H1-2026,3,Yes,77
EMP1097,H1-2025,3,No,5
EMP1097,H2-2025,4,Yes,100
EMP1097,H1-2026,4,No,105
EMP1098,H1-2025,4,No,68
EMP1098,H2-2025,5,Yes,220
EMP1098,H1-2026,5,No,80
EMP1099,H1-2025,4,No,5
EMP1099,H2-2025,4,No,149
EMP1099,H1-2026,2,No,120
EMP1100,H1-2025,4,No,57
EMP1100,H2-2025,2,No,190
EMP1100,H1-2026,4,No,66
EMP1101,H1-2025,4,No,100
EMP1101,H2-2025,3,No,125
EMP1101,H1-2026,2,No,40
EMP1102,H1-2025,2,Yes,67
EMP1102,H2-2025,3,No,62
EMP1102,H1-2026,4,Yes,156
EMP1103,H1-2025,4,No,210
EMP1103,H2-2025,3,No,168
EMP1103,H1-2026,3,No,26
EMP1104,H1-2025,4,No,181
EMP1104,H2-2025,4,No,102
EMP1104,H1-2026,2,No,201
EMP1105,H1-2025,4,No,22
EMP1105,H2-2025,2,No,157
EMP1105,H1-2026,5,No,162
EMP1106,H1-2025,2,No,132
EMP1106,H2-2025,3,No,125
EMP1106,H1-2026,3,No,129
EMP1107,H1-2025,3,No,155
EMP1107,H2-2025,2,No,86
EMP1107,H1-2026,5,No,41
EMP1108,H1-2025,3,Yes,93
EMP1108,H2-2025,3,Yes,197
EMP1108,H1-2026,4,No,145
EMP1109,H1-2025,3,No,81
EMP1109,H2-2025,4,No,82
EMP1109,H1-2026,4,No,42
EMP1110,H1-2025,3,No,100
EMP1110,H2-2025,5,No,167
EMP1110,H1-2026,2,No,64
EMP1111,H1-2025,4,No,125
EMP1111,H2-2025,5,No,35
EMP1111,H1-2026,3,No,104
EMP1112,H1-2025,3,No,141
EMP1112,H2-2025,4,No,46
EMP1112,H1-2026,2,No,84
EMP1113,H1-2025,3,Yes,153
EMP1113,H2-2025,2,Yes,123
EMP1113,H1-2026,5,No,19
EMP1114,H1-2025,4,No,100
EMP1114,H2-2025,5,No,150
EMP1114,H1-2026,5,No,80
EMP1115,H1-2025,4,Yes,133
EMP1115,H2-2025,4,No,131
EMP1115,H1-2026,3,No,113
EMP1116,H1-2025,2,No,74
EMP1116,H2-2025,3,No,127
EMP1116,H1-2026,4,Yes,57
EMP1117,H1-2025,3,No,155
EMP1117,H2-2025,4,Yes,152
EMP1117,H1-2026,4,No,79
EMP1118,H1-2025,3,No,223
EMP1118,H2-2025,2,No,119
EMP1118,H1-2026,4,No,195
EMP1119,H1-2025,3,No,83
EMP1119,H2-2025,3,No,161
EMP1119,H1-2026,3,No,166
EMP1120,H1-2025,3,Yes,90
EMP1120,H2-2025,4,No,167
EMP1120,H1-2026,3,No,122
EMP1121,H1-2025,4,No,143
EMP1121,H2-2025,2,No,125
EMP1121,H1-2026,2,No,61
EMP1122,H1-2025,4,No,97
EMP1122,H2-2025,4,No,197
EMP1122,H1-2026,2,No,6
EMP1123,H1-2025,3,Yes,235
EMP1123,H2-2025,3,No,77
EMP1123,H1-2026,3,No,146
EMP1124,H1-2025,4,Yes,168
EMP1124,H2-2025,3,No,108
EMP1124,H1-2026,3,No,154
EMP1125,H1-2025,3,No,117
EMP1125,H2-2025,5,No,113
EMP1125,H1-2026,4,No,143
EMP1126,H1-2025,4,No,131
EMP1126,H2-2025,4,No,111
EMP1126,H1-2026,3,No,105
EMP1127,H1-2025,2,No,135
EMP1127,H2-2025,2,No,266
EMP1127,H1-2026,4,No,150
EMP1128,H1-2025,3,No,21
EMP1128,H2-2025,3,No,43
EMP1128,H1-2026,3,No,236
EMP1129,H1-2025,3,No,115
EMP1129,H2-2025,3,No,279
EMP1129,H1-2026,3,No,72
EMP1130,H1-2025,4,No,193
EMP1130,H2-2025,2,No,164
EMP1130,H1-2026,3,No,112
EMP1131,H1-2025,4,Yes,171
EMP1131,H2-2025,2,No,164
EMP1131,H1-2026,2,No,166
EMP1132,H1-2025,4,No,144
EMP1132,H2-2025,4,No,140
EMP1132,H1-2026,4,No,109
EMP1133,H1-2025,3,No,129
EMP1133,H2-2025,3,No,101
EMP1133,H1-2026,3,No,20
EMP1134,H1-2025,4,No,151
EMP1134,H2-2025,5,No,161
EMP1134,H1-2026,3,No,171
EMP1135,H1-2025,3,No,101
EMP1135,H2-2025,4,Yes,123
EMP1135,H1-2026,4,No,155
EMP1136,H1-2025,3,No,136
EMP1136,H2-2025,4,No,78
EMP1136,H1-2026,2,No,47
EMP1137,H1-2025,3,No,233
EMP1137,H2-2025,2,No,53
EMP1137,H1-2026,2,No,154
EMP1138,H1-2025,3,No,5
EMP1138,H2-2025,3,No,98
EMP1138,H1-2026,4,No,166
EMP1139,H1-2025,2,No,144
EMP1139,H2-2025,2,No,62
EMP1139,H1-2026,4,No,54
EMP1140,H1-2025,3,No,186
EMP1140,H2-2025,3,No,97
EMP1140,H1-2026,3,No,41
EMP1141,H1-2025,3,No,163
EMP1141,H2-2025,3,No,156
EMP1141,H1-2026,4,No,93
EMP1142,H1-2025,3,No,68
EMP1142,H2-2025,2,No,144
EMP1142,H1-2026,4,No,187
EMP1143,H1-2025,3,No,168
EMP1143,H2-2025,4,No,126
EMP1143,H1-2026,3,No,46
EMP1144,H1-2025,3,Yes,80
EMP1144,H2-2025,3,No,88
EMP1144,H1-2026,3,No,51
EMP1145,H1-2025,3,No,35
EMP1145,H2-2025,3,No,125
EMP1145,H1-2026,4,Yes,177
EMP1146,H1-2025,4,No,123
EMP1146,H2-2025,3,No,130
EMP1146,H1-2026,4,No,117
EMP1147,H1-2025,4,Yes,59
EMP1147,H2-2025,3,Yes,108
EMP1147,H1-2026,4,No,157
EMP1148,H1-2025,4,No,182
EMP1148,H2-2025,4,No,93
EMP1148,H1-2026,2,No,152
EMP1149,H1-2025,2,No,171
EMP1149,H2-2025,5,No,106
EMP1149,H1-2026,2,Yes,36
EMP1150,H1-2025,2,No,304
EMP1150,H2-2025,2,Yes,77
EMP1150,H1-2026,2,No,219
EMP1151,H1-2025,3,No,156
EMP1151,H2-2025,3,Yes,218
EMP1151,H1-2026,2,No,5
EMP1152,H1-2025,3,No,99
EMP1152,H2-2025,2,No,84
EMP1152,H1-2026,4,No,9
EMP1153,H1-2025,2,No,88
EMP1153,H2-2025,1,No,60
EMP1153,H1-2026,3,Yes,49
EMP1154,H1-2025,5,No,77
EMP1154,H2-2025,4,No,74
EMP1154,H1-2026,4,Yes,83
EMP1155,H1-2025,4,No,68
EMP1155,H2-2025,4,No,64
EMP1155,H1-2026,2,Yes,152
EMP1156,H1-2025,4,No,105
EMP1156,H2-2025,3,No,45
EMP1156,H1-2026,4,No,61
EMP1157,H1-2025,3,No,121
EMP1157,H2-2025,3,No,70
EMP1157,H1-2026,3,No,50
EMP1158,H1-2025,5,No,80
EMP1158,H2-2025,4,No,231
EMP1158,H1-2026,4,No,93
EMP1159,H1-2025,3,No,156
EMP1159,H2-2025,3,No,29
EMP1159,H1-2026,3,No,67
EMP1160,H1-2025,3,No,205
EMP1160,H2-2025,3,Yes,114
EMP1160,H1-2026,3,No,6
EMP1161,H1-2025,3,No,94
EMP1161,H2-2025,3,No,118
EMP1161,H1-2026,4,No,69
EMP1162,H1-2025,4,No,75
EMP1162,H2-2025,3,Yes,41
EMP1162,H1-2026,4,No,68
EMP1163,H1-2025,3,No,73
EMP1163,H2-2025,3,No,206
EMP1163,H1-2026,4,No,99
EMP1164,H1-2025,4,No,62
EMP1164,H2-2025,5,No,42
EMP1164,H1-2026,4,No,134
EMP1165,H1-2025,4,No,48
EMP1165,H2-2025,3,No,192
EMP1165,H1-2026,5,No,63
EMP1166,H1-2025,2,No,119
EMP1166,H2-2025,4,No,176
EMP1166,H1-2026,4,No,143
EMP1167,H1-2025,3,Yes,209
EMP1167,H2-2025,5,No,194
EMP1167,H1-2026,4,No,122
EMP1168,H1-2025,4,No,239
EMP1168,H2-2025,3,No,137
EMP1168,H1-2026,3,No,133
EMP1169,H1-2025,4,No,111
EMP1169,H2-2025,3,No,55
EMP1169,H1-2026,3,No,137
EMP1170,H1-2025,4,No,260
EMP1170,H2-2025,4,No,214
EMP1170,H1-2026,3,No,11
EMP1171,H1-2025,3,No,149
EMP1171,H2-2025,4,No,12
EMP1171,H1-2026,4,No,107
EMP1172,H1-2025,2,No,75
EMP1172,H2-2025,2,Yes,180
EMP1172,H1-2026,4,No,148
EMP1173,H1-2025,4,No,16
EMP1173,H2-2025,4,No,168
EMP1173,H1-2026,2,No,221
EMP1174,H1-2025,2,No,150
EMP1174,H2-2025,3,No,136
EMP1174,H1-2026,5,No,98
EMP1175,H1-2025,2,Yes,64
EMP1175,H2-2025,4,No,120
EMP1175,H1-2026,3,No,29
EMP1176,H1-2025,5,No,65
EMP1176,H2-2025,3,No,11
EMP1176,H1-2026,4,No,151
EMP1177,H1-2025,4,No,115
EMP1177,H2-2025,4,No,89
EMP1177,H1-2026,2,No,5
EMP1178,H1-2025,3,No,158
EMP1178,H2-2025,3,No,198
EMP1178,H1-2026,4,Yes,5
EMP1179,H1-2025,3,No,17
EMP1179,H2-2025,4,No,183
EMP1179,H1-2026,4,No,103
EMP1180,H1-2025,2,No,192
EMP1180,H2-2025,3,No,94
EMP1180,H1-2026,3,No,131
EMP1181,H1-2025,2,No,102
EMP1181,H2-2025,3,No,81
EMP1181,H1-2026,3,No,110
EMP1182,H1-2025,2,No,141
EMP1182,H2-2025,3,No,171
EMP1182,H1-2026,3,No,38
EMP1183,H1-2025,2,No,203
EMP1183,H2-2025,5,No,74
EMP1183,H1-2026,5,Yes,84
EMP1184,H1-2025,4,No,210
EMP1184,H2-2025,3,Yes,98
EMP1184,H1-2026,5,Yes,187
EMP1185,H1-2025,3,No,172
EMP1185,H2-2025,3,No,83
EMP1185,H1-2026,3,No,220
EMP1186,H1-2025,5,No,121
EMP1186,H2-2025,4,Yes,127
EMP1186,H1-2026,4,No,45
EMP1187,H1-2025,4,No,149
EMP1187,H2-2025,3,Yes,5
EMP1187,H1-2026,3,No,62
EMP1188,H1-2025,4,No,134
EMP1188,H2-2025,4,Yes,82
EMP1188,H1-2026,4,No,162
EMP1189,H1-2025,3,Yes,62
EMP1189,H2-2025,4,No,199
EMP1189,H1-2026,2,No,83
EMP1190,H1-2025,3,No,144
EMP1190,H2-2025,3,No,152
EMP1190,H1-2026,4,No,136
EMP1191,H1-2025,4,Yes,50
EMP1191,H2-2025,3,No,55
EMP1191,H1-2026,2,No,70
EMP1192,H1-2025,3,No,172
EMP1192,H2-2025,3,No,173
EMP1192,H1-2026,3,No,171
EMP1193,H1-2025,3,No,196
EMP1193,H2-2025,4,No,112
EMP1193,H1-2026,4,Yes,229
EMP1194,H1-2025,3,No,137
EMP1194,H2-2025,3,No,119
EMP1194,H1-2026,5,No,144
EMP1195,H1-2025,3,No,45
EMP1195,H2-2025,3,No,90
EMP1195,H1-2026,4,No,129
EMP1196,H1-2025,3,No,117
EMP1196,H2-2025,3,No,71
EMP1196,H1-2026,3,No,115
EMP1197,H1-2025,2,No,167
EMP1197,H2-2025,4,No,15
EMP1197,H1-2026,3,No,69
EMP1198,H1-2025,4,No,109
EMP1198,H2-2025,4,No,185
EMP1198,H1-2026,2,No,156
EMP1199,H1-2025,3,No,184
EMP1199,H2-2025,3,No,144
EMP1199,H1-2026,4,No,112
EMP1200,H1-2025,2,No,128
EMP1200,H2-2025,3,No,103
EMP1200,H1-2026,2,No,125
EMP1201,H1-2025,3,No,89
EMP1201,H2-2025,3,No,39
EMP1201,H1-2026,3,No,172
EMP1202,H1-2025,5,No,136
EMP1202,H2-2025,5,No,98
EMP1202,H1-2026,2,No,130
EMP1203,H1-2025,4,No,5
EMP1203,H2-2025,4,No,184
EMP1203,H1-2026,3,No,141
EMP1204,H1-2025,4,No,99
EMP1204,H2-2025,2,No,302
EMP1204,H1-2026,3,No,5
EMP1205,H1-2025,4,No,101
EMP1205,H2-2025,4,No,94
EMP1205,H1-2026,4,No,106
EMP1206,H1-2025,4,Yes,232
EMP1206,H2-2025,3,No,166
EMP1206,H1-2026,5,Yes,138
EMP1207,H1-2025,3,No,43
EMP1207,H2-2025,3,Yes,22
EMP1207,H1-2026,3,No,116
EMP1208,H1-2025,4,No,127
EMP1208,H2-2025,4,No,106
EMP1208,H1-2026,2,No,73
EMP1209,H1-2025,5,No,115
EMP1209,H2-2025,4,Yes,207
EMP1209,H1-2026,4,No,129
EMP1210,H1-2025,5,No,108
EMP1210,H2-2025,3,No,132
EMP1210,H1-2026,3,No,91
EMP1211,H1-2025,3,No,127
EMP1211,H2-2025,2,No,173
EMP1211,H1-2026,2,No,223
EMP1212,H1-2025,3,No,98
EMP1212,H2-2025,4,No,161
EMP1212,H1-2026,3,No,137
EMP1213,H1-2025,3,No,100
EMP1213,H2-2025,3,No,189
EMP1213,H1-2026,1,No,190
EMP1214,H1-2025,2,No,172
EMP1214,H2-2025,3,No,99
EMP1214,H1-2026,2,No,40
EMP1215,H1-2025,4,No,67
EMP1215,H2-2025,3,No,180
EMP1215,H1-2026,3,No,15
EMP1216,H1-2025,4,Yes,53
EMP1216,H2-2025,2,No,21
EMP1216,H1-2026,3,No,78
EMP1217,H1-2025,3,No,136
EMP1217,H2-2025,4,No,161
EMP1217,H1-2026,4,No,25
EMP1218,H1-2025,4,No,149
EMP1218,H2-2025,4,No,92
EMP1218,H1-2026,2,No,81
EMP1219,H1-2025,3,No,111
EMP1219,H2-2025,3,No,182
EMP1219,H1-2026,3,No,169
EMP1220,H1-2025,2,Yes,185
EMP1220,H2-2025,5,No,106
EMP1220,H1-2026,3,No,22
EMP1221,H1-2025,4,No,105
EMP1221,H2-2025,4,No,55
EMP1221,H1-2026,3,No,105
EMP1222,H1-2025,3,No,63
EMP1222,H2-2025,3,No,122
EMP1222,H1-2026,2,No,114
EMP1223,H1-2025,4,No,169
EMP1223,H2-2025,3,No,67
EMP1223,H1-2026,4,No,177
EMP1224,H1-2025,4,No,87
EMP1224,H2-2025,4,No,195
EMP1224,H1-2026,2,No,100
EMP1225,H1-2025,3,No,193
EMP1225,H2-2025,4,Yes,109
EMP1225,H1-2026,4,No,121
EMP1226,H1-2025,3,No,174
EMP1226,H2-2025,3,No,186
EMP1226,H1-2026,3,Yes,65
EMP1227,H1-2025,3,No,5
EMP1227,H2-2025,4,No,111
EMP1227,H1-2026,3,No,144
EMP1228,H1-2025,4,No,161
EMP1228,H2-2025,4,No,19
EMP1228,H1-2026,2,No,137
EMP1229,H1-2025,3,No,115
EMP1229,H2-2025,4,No,254
EMP1229,H1-2026,3,No,97
EMP1230,H1-2025,2,Yes,79
EMP1230,H2-2025,3,No,183
EMP1230,H1-2026,3,No,170
EMP1231,H1-2025,3,No,62
EMP1231,H2-2025,2,No,100
EMP1231,H1-2026,4,Yes,75
EMP1232,H1-2025,3,No,201
EMP1232,H2-2025,4,No,86
EMP1232,H1-2026,3,No,80
EMP1233,H1-2025,4,No,41
EMP1233,H2-2025,5,No,108
EMP1233,H1-2026,3,No,177
EMP1234,H1-2025,3,No,188
EMP1234,H2-2025,3,No,51
EMP1234,H1-2026,2,No,147
EMP1235,H1-2025,4,No,159
EMP1235,H2-2025,2,No,232
EMP1235,H1-2026,3,No,48
EMP1236,H1-2025,5,No,167
EMP1236,H2-2025,3,Yes,10
EMP1236,H1-2026,4,No,121
EMP1237,H1-2025,3,Yes,141
EMP1237,H2-2025,3,Yes,130
EMP1237,H1-2026,3,Yes,102
EMP1238,H1-2025,3,No,144
EMP1238,H2-2025,4,No,34
EMP1238,H1-2026,3,No,33
EMP1239,H1-2025,3,Yes,117
EMP1239,H2-2025,3,No,148
EMP1239,H1-2026,4,No,137
EMP1240,H1-2025,4,No,100
EMP1240,H2-2025,4,No,156
EMP1240,H1-2026,2,No,51
EMP1241,H1-2025,4,No,253
EMP1241,H2-2025,4,No,137
EMP1241,H1-2026,2,No,140
EMP1242,H1-2025,5,No,89
EMP1242,H2-2025,5,No,118
EMP1242,H1-2026,4,No,104
EMP1243,H1-2025,3,No,119
EMP1243,H2-2025,4,No,147
EMP1243,H1-2026,3,No,58
EMP1244,H1-2025,3,No,171
EMP1244,H2-2025,3,No,207
EMP1244,H1-2026,2,No,13
EMP1245,H1-2025,3,No,115
EMP1245,H2-2025,4,No,149
EMP1245,H1-2026,2,No,108
EMP1246,H1-2025,4,No,197
EMP1246,H2-2025,4,No,167
EMP1246,H1-2026,3,Yes,176
EMP1247,H1-2025,3,No,183
EMP1247,H2-2025,4,No,73
EMP1247,H1-2026,4,No,81
EMP1248,H1-2025,4,No,172
EMP1248,H2-2025,4,No,117
EMP1248,H1-2026,2,No,175
EMP1249,H1-2025,3,Yes,169
EMP1249,H2-2025,3,No,158
EMP1249,H1-2026,3,No,87
EMP1250,H1-2025,4,No,167
EMP1250,H2-2025,3,No,137
EMP1250,H1-2026,3,No,153
EMP1251,H1-2025,3,No,63
EMP1251,H2-2025,5,No,72
EMP1251,H1-2026,2,No,66
EMP1252,H1-2025,4,No,159
EMP1252,H2-2025,3,No,47
EMP1252,H1-2026,4,No,122
EMP1253,H1-2025,3,No,179
EMP1253,H2-2025,3,No,50
EMP1253,H1-2026,3,No,138
EMP1254,H1-2025,2,No,144
EMP1254,H2-2025,3,No,137
