employee_id,archetype
EMP1136,leave_starved
EMP1137,healthy
EMP1138,healthy
EMP1139,burnout
EMP1140,healthy
EMP1141,healthy
EMP1142,healthy
EMP1143,healthy
EMP1144,healthy
EMP1145,recognition_drought
EMP1146,healthy
EMP1147,healthy
EMP1148,promotion_miss
EMP1149,healthy
EMP1150,burnout
EMP1151,healthy
EMP1152,healthy
EMP1153,healthy
EMP1154,thriving
EMP1155,rocky_onboarding
EMP1156,leave_starved
EMP1157,burnout
EMP1158,healthy
EMP1159,healthy
EMP1160,healthy
EMP1161,burnout
EMP1162,burnout
EMP1163,healthy
EMP1164,thriving
EMP1165,healthy
EMP1166,healthy
EMP1167,healthy
EMP1168,rocky_onboarding
EMP1169,healthy
EMP1170,healthy
EMP1171,recognition_drought
EMP1172,healthy
EMP1173,rocky_onboarding
EMP1174,leave_starved
EMP1175,healthy
EMP1176,healthy
EMP1177,promotion_miss
EMP1178,burnout
EMP1179,healthy
EMP1180,healthy
EMP1181,burnout
EMP1182,healthy
EMP1183,healthy
EMP1184,healthy
EMP1185,healthy
EMP1186,healthy
EMP1187,rocky_onboarding
EMP1188,burnout
EMP1189,healthy
EMP1190,healthy
EMP1191,healthy
EMP1192,healthy
EMP1193,healthy
EMP1194,healthy
EMP1195,leave_starved
EMP1196,recognition_drought
EMP1197,rocky_onboarding
EMP1198,promotion_miss
EMP1199,leave_starved
EMP1200,rocky_onboarding
EMP1201,burnout
EMP1202,healthy
EMP1203,healthy
EMP1204,rocky_onboarding
EMP1205,healthy
EMP1206,healthy
EMP1207,healthy
EMP1208,promotion_miss
EMP1209,healthy
EMP1210,burnout
EMP1211,healthy
EMP1212,healthy
EMP1213,leave_starved
EMP1214,healthy
EMP1215,burnout
EMP1216,rocky_onboarding
EMP1217,healthy
EMP1218,promotion_miss
EMP1219,healthy
EMP1220,healthy
EMP1221,healthy
EMP1222,recognition_drought
EMP1223,healthy
EMP1224,promotion_miss
EMP1225,healthy
EMP1226,healthy
EMP1227,recognition_drought
EMP1228,promotion_miss
EMP1229,recognition_drought
EMP1230,leave_starved
EMP1231,rocky_onboarding
EMP1232,leave_starved
EMP1233,healthy
EMP1234,healthy
EMP1235,healthy
EMP1236,healthy
EMP1237,healthy
EMP1238,healthy
EMP1239,healthy
EMP1240,promotion_miss
EMP1241,promotion_miss
EMP1242,thriving
EMP1243,healthy
EMP1244,recognition_drought
EMP1245,leave_starved
EMP1246,healthy
EMP1247,healthy
EMP1248,promotion_miss
EMP1249,healthy
EMP1250,burnout
EMP1251,healthy
EMP1252,healthy
EMP1253,healthy
EMP1254,healthy
EMP1255,promotion_miss
EMP1256,recognition_drought
EMP1257,healthy
EMP1258,healthy
EMP1259,healthy
EMP1260,healthy
EMP1261,healthy
EMP1262,healthy
EMP1263,leave_starved
EMP1264,healthy
EMP1265,rocky_onboarding
EMP1266,promotion_miss
EMP1267,healthy
EMP1268,healthy
EMP1269,healthy
EMP1270,promotion_miss
EMP1271,burnout
EMP1272,healthy
EMP1273,healthy
EMP1274,healthy
EMP1275,recognition_drought
EMP1276,healthy
EMP1277,healthy
EMP1278,thriving
EMP1279,promotion_miss
EMP1280,burnout
EMP1281,burnout
EMP1282,burnout
EMP1283,healthy
EMP1284,healthy
EMP1285,burnout
EMP1286,healthy
EMP1287,healthy
EMP1288,healthy
EMP1289,healthy
EMP1290,burnout
EMP1291,healthy
EMP1292,healthy
EMP1293,thriving
EMP1294,healthy
EMP1295,healthy
EMP1296,healthy
EMP1297,recognition_drought
EMP1298,healthy
EMP1299,healthy
EMP1300,promotion_miss
EMP1301,promotion_miss
EMP1302,healthy
EMP1303,healthy
EMP1304,promotion_miss
EMP1305,promotion_miss
EMP1306,thriving
EMP1307,healthy
EMP1308,healthy
EMP1309,healthy
EMP1310,healthy
EMP1311,healthy
EMP1312,healthy
EMP1313,thriving
EMP1314,healthy
EMP1315,healthy
EMP1316,healthy
EMP1317,healthy
EMP1318,healthy
EMP1319,rocky_onboarding
EMP1320,healthy
EMP1321,burnout
EMP1322,healthy
EMP1323,healthy
EMP1324,promotion_miss
EMP1325,healthy
EMP1326,healthy
EMP1327,healthy
EMP1328,healthy
EMP1329,rocky_onboarding
EMP1330,promotion_miss
EMP1331,rocky_onboarding
EMP1332,healthy
EMP1333,healthy
EMP1334,healthy
EMP1335,healthy
EMP1336,rocky_onboarding
EMP1337,burnout
EMP1338,healthy
EMP1339,leave_starved
EMP1340,healthy
EMP1341,recognition_drought
EMP1342,recognition_drought
EMP1343,healthy
EMP1344,healthy
EMP1345,burnout
EMP1346,healthy
EMP1347,healthy
EMP1348,healthy
EMP1349,healthy
EMP1350,promotion_miss
EMP1351,rocky_onboarding
EMP1352,recognition_drought
EMP1353,burnout
EMP1354,healthy
EMP1355,burnout
EMP1356,healthy
EMP1357,leave_starved
EMP1358,healthy
EMP1359,burnout
EMP1360,healthy
EMP1361,rocky_onboarding
EMP1362,recognition_drought
EMP1363,healthy
EMP1364,burnout
EMP1365,healthy
EMP1366,recognition_drought
EMP1367,leave_starved
EMP1368,healthy
EMP1369,burnout
EMP1370,healthy
EMP1371,healthy
EMP1372,recognition_drought
EMP1373,healthy
EMP1374,leave_starved
EMP1375,healthy
EMP1376,healthy
EMP1377,healthy
EMP1378,healthy
EMP1379,healthy
EMP1380,healthy
EMP1381,healthy
EMP1382,healthy
EMP1383,healthy
EMP1384,burnout
EMP1385,rocky_onboarding
EMP1386,healthy
EMP1387,healthy
EMP1388,healthy
EMP1389,healthy
EMP1390,healthy
EMP1391,healthy
EMP1392,recognition_drought
EMP1393,thriving
EMP1394,leave_starved
EMP1395,healthy
EMP1396,burnout
EMP1397,leave_starved
EMP1398,leave_starved
EMP1399,promotion_miss
EMP1400,thriving
EMP1401,leave_starved
EMP1402,healthy
EMP1403,promotion_miss
EMP1404,thriving
EMP1405,healthy
EMP1406,recognition_drought
EMP1407,healthy
EMP1408,burnout
EMP1409,burnout
EMP1410,healthy
EMP1411,recognition_drought
EMP1412,healthy
EMP1413,healthy
EMP1414,healthy
EMP1415,leave_starved
EMP1416,promotion_miss
EMP1417,thriving
EMP1418,healthy
EMP1419,burnout
EMP1420,burnout
EMP1421,healthy
EMP1422,recognition_drought
EMP1423,rocky_onboarding
EMP1424,rocky_onboarding
EMP1425,recognition_drought
EMP1426,healthy
EMP1427,healthy
EMP1428,thriving
EMP1429,recognition_drought
EMP1430,rocky_onboarding
EMP1431,healthy
EMP1432,healthy
EMP1433,healthy
EMP1434,recognition_drought
EMP1435,burnout
EMP1436,recognition_drought
EMP1437,healthy
EMP1438,promotion_miss
EMP1439,healthy
EMP1440,recognition_drought
EMP1441,leave_starved
EMP1442,healthy
EMP1443,promotion_miss
EMP1444,healthy
EMP1445,rocky_onboarding
EMP1446,promotion_miss
EMP1447,burnout
EMP1448,thriving
EMP1449,burnout
EMP1450,healthy
EMP1451,healthy
EMP1452,recognition_drought
EMP1453,healthy
EMP1454,healthy
EMP1455,healthy
EMP1456,thriving
EMP1457,burnout
EMP1458,thriving
EMP1459,rocky_onboarding
EMP1460,healthy
EMP1461,healthy
EMP1462,leave_starved
EMP1463,recognition_drought
EMP1464,burnout
EMP1465,rocky_onboarding
EMP1466,promotion_miss
EMP1467,healthy
EMP1468,healthy
EMP1469,healthy
EMP1470,leave_starved
EMP1471,burnout
EMP1472,healthy
EMP1473,leave_starved
EMP1474,healthy
EMP1475,promotion_miss
EMP1476,recognition_drought
EMP1477,promotion_miss
EMP1478,burnout
EMP1479,burnout
EMP1480,promotion_miss
EMP1481,healthy
EMP1482,leave_starved
EMP1483,thriving
EMP1484,promotion_miss
EMP1485,healthy
EMP1486,healthy
EMP1487,healthy
EMP1488,promotion_miss
EMP1489,healthy
EMP1490,thriving
EMP1491,promotion_miss
EMP1492,healthy
EMP1493,promotion_miss
EMP1494,rocky_onboarding
EMP1495,healthy
EMP1496,healthy
EMP1497,healthy
EMP1498,thriving
EMP1499,recognition_drought
