employee_id,award_type,award_date,points
EMP1098,Spot Award,2025-10-27,250
EMP1100,Client Kudos,2025-12-07,500
EMP1100,Client Kudos,2025-04-28,250
EMP1101,Star Performer,2026-07-23,500
EMP1101,Client Kudos,2026-03-20,100
EMP1101,Client Kudos,2026-02-26,500
EMP1103,Applause,2025-10-05,100
EMP1104,Client Kudos,2025-09-29,500
EMP1108,Spot Award,2026-05-30,500
EMP1108,Applause,2025-06-02,50
EMP1109,Applause,2026-03-23,50
EMP1109,Applause,2025-08-30,50
EMP1110,Spot Award,2026-06-23,50
EMP1110,Star Performer,2026-06-04,50
EMP1110,Star Performer,2026-04-10,250
EMP1111,Spot Award,2025-07-19,250
EMP1112,Spot Award,2025-06-08,500
EMP1113,Client Kudos,2025-09-06,500
EMP1113,Client Kudos,2025-08-04,250
EMP1114,Star Performer,2026-02-26,250
EMP1114,Star Performer,2026-04-16,100
EMP1115,Applause,2025-11-04,250
EMP1116,Star Performer,2026-06-23,50
EMP1116,Client Kudos,2025-12-08,500
EMP1116,Spot Award,2025-05-24,100
EMP1117,Star Performer,2026-01-14,100
EMP1118,Applause,2026-04-23,500
EMP1118,Client Kudos,2025-09-08,50
EMP1118,Spot Award,2026-07-21,50
EMP1119,Client Kudos,2025-06-10,100
EMP1119,Spot Award,2026-06-09,250
EMP1121,Spot Award,2026-02-14,100
EMP1121,Spot Award,2025-09-16,250
EMP1121,Client Kudos,2025-04-25,100
EMP1123,Client Kudos,2026-02-08,250
EMP1123,Star Performer,2025-12-13,500
EMP1124,Star Performer,2025-07-21,50
EMP1125,Star Performer,2026-08-14,100
EMP1125,Applause,2026-02-13,500
EMP1126,Star Performer,2026-07-10,250
EMP1126,Spot Award,2026-08-02,100
EMP1126,Spot Award,2026-04-09,500
EMP1128,Spot Award,2025-08-03,500
EMP1129,Client Kudos,2025-06-06,500
EMP1130,Client Kudos,2026-04-03,50
EMP1131,Client Kudos,2025-12-02,100
EMP1132,Client Kudos,2025-07-21,250
EMP1133,Spot Award,2026-03-05,50
EMP1134,Applause,2025-11-11,500
EMP1134,Star Performer,2025-04-21,50
EMP1135,Spot Award,2026-04-23,500
EMP1135,Spot Award,2026-04-23,50
EMP1136,Star Performer,2025-12-28,100
EMP1136,Spot Award,2026-08-06,250
EMP1136,Star Performer,2026-07-06,100
EMP1137,Client Kudos,2025-07-08,50
EMP1137,Applause,2026-07-02,250
EMP1139,Star Performer,2025-11-27,250
EMP1139,Spot Award,2026-01-31,50
EMP1140,Client Kudos,2026-06-09,50
EMP1141,Star Performer,2025-09-21,50
EMP1142,Spot Award,2025-08-10,250
EMP1143,Spot Award,2026-02-17,50
EMP1148,Star Performer,2026-01-29,500
EMP1149,Applause,2025-08-28,100
EMP1150,Applause,2025-05-12,100
EMP1150,Client Kudos,2026-04-03,250
EMP1151,Spot Award,2025-07-28,500
EMP1151,Client Kudos,2026-03-29,250
EMP1152,Star Performer,2025-07-28,500
EMP1152,Client Kudos,2025-04-23,50
EMP1152,Star Performer,2025-05-01,100
EMP1154,Client Kudos,2026-07-27,500
EMP1154,Applause,2026-04-17,50
EMP1155,Spot Award,2025-06-22,250
EMP1155,Client Kudos,2026-07-18,500
EMP1155,Applause,2025-09-01,50
EMP1157,Applause,2025-10-22,250
EMP1158,Client Kudos,2026-04-12,50
EMP1158,Star Performer,2025-11-25,250
EMP1159,Applause,2026-07-18,500
EMP1159,Applause,2025-05-24,50
EMP1159,Client Kudos,2026-07-21,250
EMP1160,Applause,2026-03-16,50
EMP1161,Spot Award,2026-01-05,100
EMP1162,Spot Award,2026-05-19,100
EMP1163,Client Kudos,2025-11-13,250
EMP1163,Applause,2025-09-24,50
EMP1164,Star Performer,2026-06-16,50
EMP1164,Applause,2025-05-07,50
EMP1166,Spot Award,2025-07-09,50
EMP1166,Spot Award,2026-06-20,100
EMP1169,Applause,2025-09-28,250
EMP1170,Spot Award,2025-12-12,100
EMP1170,Applause,2025-11-29,100
EMP1172,Applause,2025-08-21,50
EMP1173,Applause,2025-08-31,250
EMP1174,Client Kudos,2026-01-22,500
EMP1174,Star Performer,2025-06-24,50
EMP1174,Applause,2025-04-27,50
EMP1176,Client Kudos,2026-06-28,100
EMP1178,Client Kudos,2025-07-15,50
EMP1178,Star Performer,2025-09-06,250
EMP1179,Client Kudos,2026-06-15,100
EMP1180,Star Performer,2025-12-03,500
EMP1180,Client Kudos,2025-09-06,100
EMP1181,Star Performer,2026-04-15,250
EMP1181,Star Performer,2025-09-01,100
EMP1182,Star Performer,2026-03-01,50
EMP1182,Star Performer,2025-12-26,500
EMP1182,Client Kudos,2025-07-21,500
EMP1183,Applause,2026-05-04,100
EMP1183,Star Performer,2025-07-30,500
EMP1183,Spot Award,2025-12-13,250
EMP1184,Spot Award,2025-05-23,50
EMP1184,Client Kudos,2025-11-17,250
EMP1185,Star Performer,2025-11-30,50
EMP1186,Applause,2026-06-26,250
EMP1187,Spot Award,2026-01-05,250
EMP1188,Applause,2025-12-05,250
EMP1188,Client Kudos,2026-06-12,50
EMP1188,Client Kudos,2026-03-18,500
EMP1189,Applause,2026-07-16,100
EMP1189,Applause,2025-12-08,50
EMP1190,Client Kudos,2025-08-22,50
EMP1191,Spot Award,2026-02-15,250
EMP1193,Spot Award,2026-08-11,100
EMP1195,Applause,2026-08-05,500
EMP1195,Star Performer,2025-12-29,100
EMP1197,Star Performer,2026-06-17,50
EMP1197,Star Performer,2026-03-15,500
EMP1199,Spot Award,2025-06-29,250
EMP1200,Star Performer,2026-08-14,250
EMP1200,Applause,2025-06-26,250
EMP1200,Star Performer,2025-09-11,250
EMP1201,Applause,2026-02-21,100
EMP1203,Client Kudos,2025-11-28,500
EMP1203,Client Kudos,2026-08-18,50
EMP1203,Applause,2026-03-01,250
EMP1204,Spot Award,2026-05-12,100
EMP1205,Applause,2025-10-11,100
EMP1207,Spot Award,2026-07-15,100
EMP1208,Client Kudos,2025-06-07,50
EMP1210,Client Kudos,2025-12-16,250
EMP1213,Spot Award,2026-03-13,100
EMP1214,Star Performer,2026-04-09,50
EMP1214,Client Kudos,2026-04-07,50
EMP1215,Applause,2026-03-22,250
EMP1216,Applause,2025-11-19,500
EMP1216,Spot Award,2026-05-25,50
EMP1219,Applause,2025-09-23,500
EMP1219,Client Kudos,2026-04-17,50
EMP1221,Star Performer,2026-08-07,50
EMP1221,Spot Award,2025-07-14,100
EMP1221,Spot Award,2025-08-05,100
EMP1223,Star Performer,2026-08-04,100
EMP1224,Client Kudos,2026-08-16,100
EMP1226,Applause,2026-06-01,100
EMP1226,Applause,2026-03-09,500
EMP1228,Applause,2025-05-02,500
EMP1228,Client Kudos,2026-05-12,250
EMP1228,Spot Award,2025-06-22,250
EMP1230,Applause,2026-02-04,100
EMP1230,Applause,2025-04-24,500
EMP1231,Star Performer,2025-12-03,100
EMP1232,Client Kudos,2026-05-17,50
EMP1233,Client Kudos,2025-09-26,50
EMP1234,Spot Award,2026-07-12,100
EMP1234,Star Performer,2026-07-14,100
EMP1234,Star Performer,2026-05-02,250
EMP1235,Spot Award,2025-09-25,250
EMP1235,Client Kudos,2025-11-30,50
EMP1235,Applause,2025-10-20,50
EMP1236,Spot Award,2025-07-12,500
EMP1237,Star Performer,2025-05-27,100
EMP1238,Applause,2025-05-20,500
EMP1238,Spot Award,2026-04-04,250
EMP1240,Star Performer,2026-04-03,250
EMP1240,Star Performer,2026-01-10,250
EMP1241,Star Performer,2025-06-20,50
EMP1242,Client Kudos,2026-05-07,250
EMP1242,Applause,2025-07-05,100
EMP1245,Client Kudos,2025-11-25,250
EMP1246,Spot Award,2026-02-16,50
EMP1246,Applause,2025-08-14,50
EMP1247,Applause,2025-06-19,100
EMP1247,Client Kudos,2025-06-16,100
EMP1248,Applause,2025-04-22,50
EMP1248,Applause,2025-09-21,50
EMP1249,Star Performer,2026-08-20,250
EMP1251,Applause,2025-11-23,250
EMP1251,Spot Award,2025-08-18,100
EMP1252,Client Kudos,2025-04-22,50
EMP1252,Applause,2025-09-04,500
EMP1253,Star Performer,2025-10-30,500
EMP1253,Applause,2026-02-17,250
EMP1254,Star Performer,2025-11-19,100
EMP1254,Star Performer,2026-05-17,500
EMP1255,Star Performer,2025-11-27,250
EMP1257,Spot Award,2026-06-05,100
EMP1257,Spot Award,2026-03-25,500
EMP1258,Star Performer,2026-08-04,50
EMP1258,Spot Award,2025-12-23,250
EMP1259,Client Kudos,2026-06-21,250
EMP1259,Applause,2026-07-01,500
EMP1260,Applause,2025-06-20,50
EMP1261,Star Performer,2026-06-28,100
EMP1261,Applause,2025-05-09,100
EMP1262,Star Performer,2026-03-29,100
EMP1262,Client Kudos,2026-02-03,500
EMP1263,Client Kudos,2025-08-26,50
EMP1265,Applause,2025-07-21,250
EMP1265,Spot Award,2025-09-22,500
EMP1266,Applause,2025-11-25,250
EMP1266,Client Kudos,2025-05-20,100
EMP1269,Star Performer,2025-06-06,500
EMP1269,Star Performer,2026-06-04,100
EMP1270,Client Kudos,2025-06-02,100
EMP1270,Client Kudos,2025-10-31,100
EMP1271,Client Kudos,2025-09-27,250
EMP1271,Spot Award,2025-08-22,500
EMP1272,Client Kudos,2025-12-21,500
EMP1272,Client Kudos,2026-04-01,100
EMP1272,Applause,2026-08-02,100
EMP1273,Client Kudos,2025-12-27,500
EMP1273,Spot Award,2025-08-22,250
EMP1274,Applause,2025-09-17,250
EMP1274,Client Kudos,2025-07-23,250
EMP1277,Spot Award,2026-03-02,50
EMP1277,Spot Award,2026-02-12,100
EMP1278,Applause,2025-09-26,100
EMP1278,Client Kudos,2025-07-24,250
EMP1279,Spot Award,2025-06-04,50
EMP1279,Applause,2025-05-06,500
EMP1279,Applause,2026-05-05,250
EMP1280,Applause,2025-12-28,50
EMP1280,Star Performer,2026-02-20,250
EMP1280,Client Kudos,2025-12-04,250
EMP1282,Client Kudos,2026-07-02,50
EMP1283,Spot Award,2026-04-28,500
EMP1284,Spot Award,2025-07-21,50
EMP1284,Spot Award,2026-01-23,250
EMP1284,Star Performer,2025-10-15,250
EMP1286,Client Kudos,2025-10-10,100
EMP1287,Star Performer,2025-05-17,50
EMP1287,Client Kudos,2025-09-04,250
EMP1293,Star Performer,2025-06-20,250
EMP1293,Client Kudos,2025-10-02,50
EMP1294,Client Kudos,2026-02-15,50
EMP1296,Client Kudos,2025-12-26,500
EMP1298,Star Performer,2025-05-16,250
EMP1299,Spot Award,2026-04-30,500
EMP1299,Spot Award,2026-02-01,50
EMP1300,Spot Award,2025-10-07,250
EMP1300,Spot Award,2026-03-28,250
EMP1300,Client Kudos,2025-06-22,500
EMP1302,Applause,2026-07-29,50
EMP1303,Client Kudos,2026-05-29,500
EMP1304,Applause,2026-04-15,250
EMP1306,Applause,2025-11-01,250
EMP1306,Client Kudos,2026-05-25,500
EMP1307,Star Performer,2026-07-16,500
EMP1307,Client Kudos,2026-01-28,500
EMP1307,Applause,2025-09-07,250
EMP1308,Client Kudos,2026-01-08,100
EMP1309,Client Kudos,2026-04-30,250
EMP1309,Client Kudos,2025-04-25,100
EMP1310,Star Performer,2026-01-03,500
EMP1311,Star Performer,2025-08-13,250
EMP1311,Applause,2025-06-08,50
EMP1312,Client Kudos,2026-07-15,500
EMP1313,Client Kudos,2025-10-19,500
EMP1313,Star Performer,2025-11-06,500
EMP1314,Spot Award,2025-06-21,100
EMP1314,Applause,2025-11-11,250
EMP1315,Spot Award,2025-11-07,500
EMP1317,Spot Award,2026-05-09,50
EMP1320,Client Kudos,2026-02-15,100
EMP1320,Applause,2026-05-14,250
EMP1320,Star Performer,2026-06-22,250
EMP1321,Spot Award,2025-05-08,50
EMP1322,Client Kudos,2025-09-22,250
EMP1322,Star Performer,2025-10-27,500
EMP1322,Applause,2025-12-08,250
EMP1323,Spot Award,2025-07-05,250
EMP1325,Applause,2025-04-29,50
EMP1325,Spot Award,2025-09-20,500
EMP1325,Star Performer,2026-04-08,100
EMP1326,Spot Award,2025-10-19,50
EMP1326,Client Kudos,2026-01-16,100
EMP1326,Star Performer,2026-07-17,100
EMP1327,Applause,2025-05-20,250
EMP1327,Applause,2026-07-10,100
EMP1327,Applause,2026-01-28,50
EMP1329,Client Kudos,2026-08-17,500
EMP1329,Spot Award,2025-10-15,100
EMP1330,Star Performer,2025-09-22,50
EMP1330,Client Kudos,2025-12-07,100
EMP1330,Applause,2025-10-20,100
EMP1331,Star Performer,2025-09-20,50
EMP1332,Client Kudos,2026-05-02,50
EMP1332,Star Performer,2026-05-01,100
EMP1332,Spot Award,2025-07-06,250
EMP1333,Client Kudos,2025-10-01,500
EMP1333,Spot Award,2026-05-23,50
EMP1333,Spot Award,2026-01-05,100
EMP1334,Applause,2026-02-11,100
EMP1335,Applause,2025-07-23,50
EMP1336,Star Performer,2025-12-29,50
EMP1336,Spot Award,2025-10-28,250
EMP1337,Spot Award,2025-12-23,250
EMP1337,Applause,2026-06-02,50
EMP1338,Client Kudos,2026-03-18,500
EMP1338,Spot Award,2026-07-30,500
EMP1338,Client Kudos,2026-02-08,50
EMP1339,Star Performer,2026-05-08,100
EMP1339,Applause,2026-01-04,100
EMP1339,Star Performer,2025-08-01,250
EMP1340,Spot Award,2026-04-26,250
EMP1343,Star Performer,2026-02-26,250
EMP1344,Star Performer,2026-07-22,50
EMP1344,Applause,2025-04-30,50
EMP1345,Applause,2025-04-27,100
EMP1346,Star Performer,2025-04-15,500
EMP1347,Star Performer,2026-03-21,250
EMP1347,Client Kudos,2026-07-15,50
EMP1348,Spot Award,2026-07-08,500
EMP1349,Spot Award,2025-06-01,100
EMP1349,Star Performer,2025-09-05,250
EMP1350,Applause,2026-06-04,500
EMP1353,Spot Award,2025-10-16,50
EMP1353,Applause,2026-04-07,250
EMP1353,Spot Award,2026-03-30,250
EMP1355,Spot Award,2026-05-03,50
EMP1356,Spot Award,2025-11-21,250
EMP1356,Client Kudos,2025-07-04,50
EMP1358,Spot Award,2026-03-19,250
EMP1358,Spot Award,2025-05-30,100
EMP1358,Client Kudos,2026-06-26,100
EMP1359,Spot Award,2026-02-08,100
EMP1360,Applause,2026-03-15,500
EMP1363,Star Performer,2025-10-06,50
EMP1363,Client Kudos,2026-02-10,500
EMP1367,Spot Award,2026-02-08,500
EMP1368,Spot Award,2025-09-15,500
EMP1369,Applause,2026-08-03,100
EMP1370,Spot Award,2025-05-26,50
EMP1370,Client Kudos,2025-09-29,500
EMP1370,Client Kudos,2025-08-16,500
EMP1371,Client Kudos,2025-08-02,50
EMP1373,Spot Award,2025-07-26,250
EMP1374,Client Kudos,2025-07-07,100
EMP1375,Spot Award,2026-06-12,50
EMP1375,Star Performer,2026-02-08,500
EMP1375,Spot Award,2026-06-16,250
EMP1377,Star Performer,2025-05-19,50
EMP1377,Spot Award,2025-08-01,250
EMP1377,Spot Award,2025-08-13,50
EMP1379,Applause,2026-06-12,50
EMP1379,Applause,2025-10-22,50
EMP1380,Applause,2025-06-01,100
EMP1380,Client Kudos,2026-04-22,100
EMP1380,Star Performer,2025-06-14,50
EMP1381,Client Kudos,2026-01-02,500
EMP1381,Client Kudos,2025-10-25,250
EMP1382,Spot Award,2026-07-07,500
EMP1383,Client Kudos,2025-11-28,100
EMP1383,Spot Award,2026-01-21,100
EMP1384,Spot Award,2026-05-30,250
EMP1384,Client Kudos,2025-09-06,50
EMP1387,Spot Award,2025-10-17,100
EMP1388,Spot Award,2025-05-01,250
EMP1389,Spot Award,2026-07-19,50
EMP1389,Applause,2025-07-16,100
EMP1390,Applause,2025-06-16,250
EMP1391,Star Performer,2025-05-25,100
EMP1391,Applause,2026-01-15,50
EMP1393,Star Performer,2025-06-01,500
EMP1393,Applause,2026-07-25,500
EMP1393,Client Kudos,2026-03-06,50
EMP1394,Client Kudos,2026-06-28,500
EMP1395,Star Performer,2026-03-30,50
EMP1395,Applause,2026-07-14,50
EMP1396,Star Performer,2025-10-25,50
EMP1396,Spot Award,2025-06-08,250
EMP1396,Star Performer,2025-06-08,500
EMP1397,Client Kudos,2025-05-21,50
EMP1397,Client Kudos,2026-07-17,500
EMP1397,Applause,2026-03-08,250
EMP1398,Star Performer,2026-02-19,50
EMP1398,Spot Award,2026-01-01,100
EMP1399,Applause,2025-09-13,500
EMP1400,Star Performer,2026-07-14,100
EMP1400,Star Performer,2026-03-03,500
EMP1402,Star Performer,2025-08-06,500
EMP1403,Applause,2025-07-18,500
EMP1404,Client Kudos,2025-06-30,50
EMP1404,Star Performer,2026-03-14,250
EMP1407,Client Kudos,2026-06-13,50
EMP1408,Spot Award,2026-01-22,100
EMP1408,Star Performer,2025-07-14,50
EMP1409,Star Performer,2026-01-26,100
EMP1409,Client Kudos,2026-04-27,500
EMP1410,Client Kudos,2025-05-25,50
EMP1413,Client Kudos,2026-03-26,500
EMP1413,Spot Award,2025-10-14,250
EMP1413,Spot Award,2025-09-17,250
EMP1415,Spot Award,2026-08-09,50
EMP1417,Spot Award,2026-02-28,250
EMP1417,Applause,2025-06-30,50
EMP1419,Star Performer,2026-02-07,50
EMP1419,Applause,2025-08-31,100
EMP1420,Client Kudos,2025-08-16,250
EMP1421,Client Kudos,2026-01-21,100
EMP1421,Client Kudos,2026-07-23,250
EMP1423,Applause,2025-08-15,50
EMP1424,Star Performer,2026-05-30,500
EMP1426,Client Kudos,2026-06-09,100
EMP1428,Applause,2026-08-10,500
EMP1428,Applause,2026-07-30,500
EMP1431,Star Performer,2026-07-22,500
EMP1432,Star Performer,2025-12-05,100
EMP1432,Applause,2025-09-01,50
EMP1433,Applause,2026-05-23,50
EMP1437,Client Kudos,2026-01-02,500
EMP1437,Star Performer,2025-06-26,100
EMP1437,Star Performer,2026-08-10,50
EMP1438,Spot Award,2025-11-17,250
EMP1441,Client Kudos,2025-06-19,250
EMP1441,Client Kudos,2026-01-08,50
EMP1441,Spot Award,2026-01-25,50
EMP1443,Spot Award,2026-05-26,100
EMP1443,Applause,2025-04-25,50
EMP1444,Client Kudos,2025-11-16,250
EMP1444,Client Kudos,2026-07-25,100
EMP1444,Client Kudos,2025-10-06,100
EMP1446,Star Performer,2025-05-09,500
EMP1447,Star Performer,2025-09-21,50
EMP1447,Applause,2025-05-25,100
EMP1447,Client Kudos,2025-04-16,100
EMP1448,Spot Award,2026-07-09,250
EMP1448,Client Kudos,2025-05-03,500
EMP1449,Spot Award,2026-07-27,250
EMP1450,Client Kudos,2025-11-18,500
EMP1451,Client Kudos,2026-01-26,250
EMP1453,Star Performer,2026-03-13,100
EMP1455,Client Kudos,2026-03-13,250
EMP1455,Client Kudos,2025-04-19,50
EMP1456,Spot Award,2025-06-16,250
EMP1456,Applause,2026-03-05,500
EMP1456,Applause,2026-03-06,250
EMP1457,Applause,2025-11-28,250
EMP1457,Client Kudos,2025-08-04,50
EMP1458,Applause,2025-11-05,250
EMP1458,Spot Award,2026-07-11,100
EMP1459,Spot Award,2025-05-18,50
EMP1461,Star Performer,2025-04-13,250
EMP1461,Star Performer,2025-06-17,500
EMP1462,Client Kudos,2025-09-09,500
EMP1465,Star Performer,2026-08-09,50
EMP1466,Applause,2025-09-13,250
EMP1468,Spot Award,2025-07-24,100
EMP1469,Client Kudos,2025-07-14,50
EMP1469,Client Kudos,2025-07-11,250
EMP1471,Client Kudos,2026-01-29,100
EMP1472,Client Kudos,2026-05-03,50
EMP1473,Client Kudos,2025-10-12,50
EMP1473,Applause,2025-07-20,500
EMP1474,Star Performer,2025-06-20,500
EMP1475,Applause,2025-11-28,50
EMP1475,Star Performer,2025-08-29,500
EMP1477,Star Performer,2026-04-09,100
EMP1478,Star Performer,2026-01-14,50
EMP1479,Star Performer,2026-03-11,500
EMP1479,Star Performer,2025-12-24,50
EMP1481,Applause,2025-08-14,250
EMP1483,Spot Award,2026-05-08,50
EMP1483,Star Performer,2025-07-06,50
EMP1484,Client Kudos,2026-04-24,100
EMP1484,Applause,2026-06-24,250
EMP1485,Client Kudos,2025-08-07,250
EMP1485,Applause,2025-12-17,50
EMP1485,Spot Award,2025-05-05,250
EMP1486,Spot Award,2025-06-26,250
EMP1486,Applause,2026-05-12,250
EMP1487,Applause,2025-07-17,500
EMP1487,Spot Award,2025-06-12,500
EMP1487,Star Performer,2025-10-17,250
EMP1488,Star Performer,2026-06-19,50
EMP1489,Spot Award,2025-05-14,100
EMP1489,Client Kudos,2025-04-21,100
EMP1490,Star Performer,2026-03-04,50
EMP1490,Applause,2026-06-09,50
EMP1491,Star Performer,2025-04-16,100
EMP1491,Star Performer,2026-04-04,100
EMP1491,Client Kudos,2025-06-06,500
EMP1492,Star Performer,2025-11-13,250
EMP1492,Client Kudos,2026-06-09,50
EMP1493,Star Performer,2025-09-27,50
EMP1494,Client Kudos,2025-11-20,50
EMP1494,Applause,2025-09-19,50
EMP1494,Applause,2025-10-01,250
EMP1495,Spot Award,2026-03-07,250
EMP1495,Spot Award,2025-10-14,500
EMP1495,Applause,2026-03-04,100
EMP1496,Star Performer,2025-12-08,100
EMP1496,Star Performer,2026-02-20,100
EMP1496,Client Kudos,2026-03-28,250
EMP1497,Applause,2025-05-30,100
EMP1497,Client Kudos,2026-04-03,50
EMP1498,Applause,2025-09-01,100
EMP1498,Client Kudos,2026-02-19,50
EMP1498,Client Kudos,2026-05-08,50
